budget_s,sample_id,status,depth,reference,expanded,generated,seconds
1,easy-0001,solved,4,4,55,152,0.12
1,easy-0002,timeout,3,7,124,367,
1,easy-0003,timeout,4,10,99,367,
1,easy-0004,solved,5,5,46,57,0.425
1,easy-0005,solved,5,5,44,110,0.182
1,easy-0006,solved,5,5,19,24,0.123
1,easy-0007,timeout,5,8,37,82,
1,mid-0001,timeout,3,11,42,184,
1,mid-0002,timeout,3,12,67,207,
1,mid-0003,timeout,3,13,48,250,
1,hard-0001,timeout,2,19,2,19,
1,hard-0002,timeout,2,19,9,26,
4,easy-0001,solved,4,4,55,152,0.111
4,easy-0002,timeout,4,7,338,801,
4,easy-0003,timeout,4,10,271,959,
4,easy-0004,solved,5,5,46,57,0.415
4,easy-0005,solved,5,5,44,110,0.184
4,easy-0006,solved,5,5,19,24,0.133
4,easy-0007,timeout,5,8,78,149,
4,mid-0001,timeout,4,11,118,424,
4,mid-0002,timeout,4,12,177,454,
4,mid-0003,timeout,4,13,152,697,
4,hard-0001,timeout,2,19,5,62,
4,hard-0002,timeout,3,19,25,65,
15,easy-0001,solved,4,4,55,152,0.116
15,easy-0002,timeout,5,7,748,1510,
15,easy-0003,timeout,5,10,612,2044,
15,easy-0004,solved,5,5,46,57,0.422
15,easy-0005,solved,5,5,44,110,0.177
15,easy-0006,solved,5,5,19,24,0.123
15,easy-0007,solved,7,8,135,224,9.149
15,mid-0001,timeout,4,11,308,1148,
15,mid-0002,timeout,5,12,444,943,
15,mid-0003,timeout,4,13,399,1734,
15,hard-0001,timeout,2,19,18,231,
15,hard-0002,timeout,4,19,78,167,
60,easy-0001,solved,4,4,55,152,0.112
60,easy-0002,solved,7,7,1207,2151,38.737
60,easy-0003,timeout,6,10,1730,5332,
60,easy-0004,solved,5,5,46,57,0.419
60,easy-0005,solved,5,5,44,110,0.183
60,easy-0006,solved,5,5,19,24,0.133
60,easy-0007,solved,7,8,135,224,8.865
60,mid-0001,timeout,5,11,762,2535,
60,mid-0002,timeout,6,12,1122,1921,
60,mid-0003,timeout,5,13,1060,4295,
60,hard-0001,timeout,3,19,46,553,
60,hard-0002,timeout,5,19,163,325,
240,easy-0001,solved,4,4,55,152,0.139
240,easy-0002,solved,7,7,1207,2151,45.695
240,easy-0003,timeout,7,10,4893,13633,
240,easy-0004,solved,5,5,46,57,0.465
240,easy-0005,solved,5,5,44,110,0.199
240,easy-0006,solved,5,5,19,24,0.138
240,easy-0007,solved,7,8,135,224,10.088
240,mid-0001,timeout,6,11,1758,5274,
240,mid-0002,timeout,8,12,2724,3600,
240,mid-0003,timeout,6,13,2743,9362,
240,hard-0001,timeout,3,19,147,1519,
240,hard-0002,timeout,6,19,444,922,
