budget_s,sample_id,status,depth,reference,expanded,generated,seconds
1,easy-0001,solved,4,4,38,89,0.047
1,easy-0002,timeout,4,7,174,453,
1,easy-0003,timeout,4,10,151,480,
1,easy-0004,solved,5,5,41,51,0.223
1,easy-0005,solved,5,5,40,97,0.095
1,easy-0006,solved,5,5,11,12,0.034
1,easy-0007,timeout,5,8,72,128,
1,mid-0001,timeout,3,11,68,221,
1,mid-0002,timeout,4,12,100,260,
1,mid-0003,timeout,3,13,75,316,
1,hard-0001,timeout,2,19,3,29,
1,hard-0002,timeout,2,19,12,32,
4,easy-0001,solved,4,4,38,89,0.05
4,easy-0002,timeout,5,7,514,1060,
4,easy-0003,timeout,5,10,463,1357,
4,easy-0004,solved,5,5,41,51,0.205
4,easy-0005,solved,5,5,40,97,0.073
4,easy-0006,solved,5,5,11,12,0.034
4,easy-0007,solved,7,8,120,177,2.467
4,mid-0001,timeout,4,11,164,468,
4,mid-0002,timeout,5,12,265,592,
4,mid-0003,timeout,4,13,210,699,
4,hard-0001,timeout,2,19,6,61,
4,hard-0002,timeout,3,19,36,80,
15,easy-0001,solved,4,4,38,89,0.049
15,easy-0002,solved,7,7,920,1621,10.177
15,easy-0003,timeout,6,10,1180,3261,
15,easy-0004,solved,5,5,41,51,0.447
15,easy-0005,solved,5,5,40,97,0.131
15,easy-0006,solved,5,5,11,12,0.061
15,easy-0007,solved,7,8,120,177,2.707
15,mid-0001,timeout,5,11,459,1207,
15,mid-0002,timeout,5,12,365,757,
15,mid-0003,timeout,5,13,530,1673,
15,hard-0001,timeout,2,19,15,168,
15,hard-0002,timeout,4,19,83,151,
60,easy-0001,solved,4,4,38,89,0.056
60,easy-0002,solved,7,7,920,1621,12.08
60,easy-0003,timeout,7,10,3065,7764,
60,easy-0004,solved,5,5,41,51,0.215
60,easy-0005,solved,5,5,40,97,0.087
60,easy-0006,solved,5,5,11,12,0.033
60,easy-0007,solved,7,8,120,177,2.288
60,mid-0001,timeout,6,11,1228,3084,
60,mid-0002,timeout,8,12,1949,2617,
60,mid-0003,timeout,6,13,2070,4796,
60,hard-0001,timeout,3,19,68,577,
60,hard-0002,timeout,6,19,358,673,
